Timestamp,Have you read the two most recent Databits issues (spring 2018 and summer 2019)?,"If reading Databits has not interested you, what might increase your interest?","What topics do you like to read about in Databits, select all that are appropriate?","What topics might you be interested to write about in Databits, either for an IM or broader audience?","If you are not interested to contribute a story, can you envision any changes that would make you more likely to contribute?","What is an optimal length for Databits stories, both in terms of the length of story you would like to read and to write (note that Site Bytes does not count here because it is an aggregate)?","There has been lively discussion about the format of Databits (i.e., PDF or a blog model). For the editors, it comes down to continuous versus discrete publishing models. Would you be more likely to read Databits articles if they are distributed first:","How would you like to hear about new Databits content if it were published continuously (as in a blog)? For a sense of frequency, the latest issue had 8 articles (excluding Site Bytes) and was published 15 months after the prior issue.",Do you share Databits content outside of the IM community?,What do you think is Databits’ value to the IM community?,"Please provide any additional thoughts that you would like to share, and note that we are receptive to strong, even inflammatory, opinions so please feel free to comment openly."
8/28/2019 17:16:41,"yes, all or most of the content",,"Site IM updates (SiteBytes), Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Op-eds, reflections, and commentaries, Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project)","Recommendations for IM techniques/technologies/tools, new or old",,Under 800 words per article (about 3-4 min read),"about the same, as long as I know it is available","IM mailing list (one email per new article), Slack",Yes,"IMs take away an overview of what is happening in the community, IMs take away new ideas, provides a platform for sharing cool tidbits and smaller projects or analyses","throwing another idea into the mix (although maybe it's been shot down already): has anyone mentioned doing databits as a github site? eg, it could show up as lter.github.io/databits. content is just markdown, so it's portable. there are plenty of blog-style templates (ie, dated entries), and IMs would have total control. "
8/28/2019 17:46:29,some but not all,Announcing that it is published would be useful. More frequent and more relevant content. ,"Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Op-eds, reflections, and commentaries, Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project), History tidbits (DH’s history of LTER IM meetings)","Op-eds, reflections, and commentaries",,"Under 800 words per article (about 3-4 min read), 800 to 1.5k words per article (about 4-8 min read), More than 1.5k words (8+ min read)","as a continuous stream of single articles, as in a blog","IM mailing list (one email per new article), Twitter",No,"IMs take away new ideas, provides a platform for sharing cool tidbits and smaller projects or analyses","I think it is critically important to distinguish who the target audience is. I personally think it is just as important to communicate with each other about cool things we should share with each other as it is to communicate to the broader LTER community. A lot of people in LTER don't really know what IMs do beyond ""data management"" or how we can help. Blog posts (as opposed to a largely unadvertised) pdf provide a much easier mechanism for distributing specific posts more broader audience (e.g., via twitter), and even beyond LTER. Also, we IMs have a lot of skills that are becoming increasingly important skills for graduate students and early career scientists. Therefore, this is a great opportunity to rethink how we can share information that might be of interest to, as well as contribute to, the broader LTER Network (emphasis on ""Network""). I think the pdf model is very outdated. I'm not sure how to solve the problem of getting people to contribute. My excuse is lack of time. Where is the incentive? I think this is the second most important thing to figure out. 🔥🔥🔥"
8/28/2019 19:19:29,some but not all,,"International updates, Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project), History tidbits (DH’s history of LTER IM meetings)","Site IM updates (SiteBytes), Recaps from meetings, working groups, and Slack conversations, Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project)",,800 to 1.5k words per article (about 4-8 min read),"about the same, as long as I know it is available","IM mailing list (one email per new article), Slack",No,"IMs take away an overview of what is happening in the community, IMs take away new ideas, a shared publication helps build and engender a sense of community, provides a sandbox for new projects, possibly for subsequent publications, provides a platform for sharing cool tidbits and smaller projects or analyses, provides sharable, citable record of IM work for disseminating to wider community","I'm pretty new, so have only encountered one DataBits issue. I think the periodical publication model (pdfs) is a little outdated and DataBits would be more useful as a blog. To me, a useful blog format would include somewhat regular short features (like sitebytes and WG updates) and occasional long-form articles."
8/29/2019 8:57:01,some but not all,,"International updates, Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project)","Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project)",,Under 800 words per article (about 3-4 min read),"as a continuous stream of single articles, as in a blog","IM mailing list (one email per new article), Twitter, LNO and EDI websites",No,"IMs take away new ideas, provides a platform for sharing cool tidbits and smaller projects or analyses","It seems this discussion is mainly about semantics. Online Databits article vs. online Databits blog? My LTER site does not list Databits 'articles' in its publication list for the annual report to NSF because it's not considered a proper publication. On the other hand, websites or blogs are now routinely cited in publications. Hence, a Databits 'blog' post is about as shareable or citeable as a Databits 'article'."
8/29/2019 9:08:25,"yes, all or most of the content","It has valuable information, It's interested me!","Site IM updates (SiteBytes), Personnel updates (Where are they now? Who is the new face?), International updates, Recaps from meetings, working groups, and Slack conversations, Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Op-eds, reflections, and commentaries, Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project), History tidbits (DH’s history of LTER IM meetings)","Site IM updates (SiteBytes), Personnel updates (Where are they now? Who is the new face?), Recaps from meetings, working groups, and Slack conversations, Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles)",,"Under 800 words per article (about 3-4 min read), 800 to 1.5k words per article (about 4-8 min read)","about the same, as long as I know it is available",IM mailing list (one email per new article),Yes,"IMs take away an overview of what is happening in the community, IMs take away new ideas, a shared publication helps build and engender a sense of community, provides a platform for sharing cool tidbits and smaller projects or analyses, provides sharable, citable record of IM work for disseminating to wider community",
8/29/2019 9:45:41,not yet but still planning to,,"Site IM updates (SiteBytes), Personnel updates (Where are they now? Who is the new face?), Recaps from meetings, working groups, and Slack conversations, Recommendations for IM techniques/technologies/tools, new or old","Site IM updates (SiteBytes), Op-eds, reflections, and commentaries",,Under 800 words per article (about 3-4 min read),"as a continuous stream of single articles, as in a blog",IM mailing list (one email per new article),No,"IMs take away an overview of what is happening in the community, IMs take away new ideas, provides a sandbox for new projects, possibly for subsequent publications, provides a platform for sharing cool tidbits and smaller projects or analyses, provides sharable, citable record of IM work for disseminating to wider community",
8/29/2019 11:51:27,"yes, all or most of the content",,"Site IM updates (SiteBytes), Personnel updates (Where are they now? Who is the new face?), International updates, Recaps from meetings, working groups, and Slack conversations, Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Op-eds, reflections, and commentaries, Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project), History tidbits (DH’s history of LTER IM meetings)","Site IM updates (SiteBytes), Personnel updates (Where are they now? Who is the new face?), Recaps from meetings, working groups, and Slack conversations, Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Op-eds, reflections, and commentaries, History tidbits (DH’s history of LTER IM meetings)",,Under 800 words per article (about 3-4 min read),"as a discrete issue, all articles at once, most likely annually or bi-annually",IM mailing list (one email per new article),Yes,"IMs take away an overview of what is happening in the community, IMs take away new ideas, a shared publication helps build and engender a sense of community, provides a platform for sharing cool tidbits and smaller projects or analyses",DataBits or a collection of blog articles should be better announced to the LTER and broader community. Having a persistent web location for finding current articles and past publications is essential.
8/29/2019 12:02:14,"yes, all or most of the content",,"Recommendations for IM techniques/technologies/tools, new or old","Recommendations for IM techniques/technologies/tools, new or old",,Under 800 words per article (about 3-4 min read),"about the same, as long as I know it is available",IM mailing list (one email per new article),No,"IMs take away an overview of what is happening in the community, IMs take away new ideas, provides a platform for sharing cool tidbits and smaller projects or analyses","I appreciate the curation that Databits editors provide. If no one wants to fill that role, I am also fine with just having blog entries until the next editor decides to put a Databits issue together."
8/29/2019 12:11:36,some but not all,I did not realize there WAS a summer 2019 issue! When did it come out? I knew there was a 2019 issue but I thought it was spring. I read that one. Typo?,"Site IM updates (SiteBytes), Personnel updates (Where are they now? Who is the new face?), Recaps from meetings, working groups, and Slack conversations, Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Op-eds, reflections, and commentaries, Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project), History tidbits (DH’s history of LTER IM meetings)","Site IM updates (SiteBytes), Recaps from meetings, working groups, and Slack conversations, Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Op-eds, reflections, and commentaries, Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project)",,Under 800 words per article (about 3-4 min read),"about the same, as long as I know it is available",IM mailing list (one email per new article),No,"IMs take away an overview of what is happening in the community, IMs take away new ideas, a shared publication helps build and engender a sense of community, provides a platform for sharing cool tidbits and smaller projects or analyses, provides sharable, citable record of IM work for disseminating to wider community","My university department requires that I publish. They accepted DataBits toward that. Most years that was my ONLY publication. During the years DataBits was not active, I skipped my annual review. That cost me on the order of tens of thousands of dollars. Sure, I could have written a real article for a real journal. But I did not. So, I really do care about DataBits. "
8/29/2019 13:20:50,not yet but still planning to,,"Recommendations for IM techniques/technologies/tools, new or old, Op-eds, reflections, and commentaries, History tidbits (DH’s history of LTER IM meetings)","Recommendations for IM techniques/technologies/tools, new or old",,Under 800 words per article (about 3-4 min read),"as a discrete issue, all articles at once, most likely annually or bi-annually",IM mailing list (one email per new article),No,"IMs take away an overview of what is happening in the community, IMs take away new ideas, a shared publication helps build and engender a sense of community, provides a platform for sharing cool tidbits and smaller projects or analyses",
